Model,n_engines,MAE,RMSE,R2,MAPE
CatBoost (cap=150),237,19.015494662361625,25.629796894233156,0.7682411570140961,30.054137217954345
LSTM raw (cap=150),237,22.52731704711914,30.350273460400548,0.6750091314315796,37.447811046134774
