trial,depth,learning_rate,iterations,l2_leaf_reg,subsample,random_strength,MAE,RMSE,R2,Training Time (s)
5,8,0.07121440981483325,1458,6.995318890802159,0.8552273733377821,7.9111949825092776,12.835810709354295,19.092337511467214,0.7818391905343325,134.59
4,5,0.09921094227052273,813,2.243099883727147,0.806079418225017,0.13033061219536957,12.963973755939763,19.121568246782605,0.7811706623848336,23.43
6,5,0.06461790298747618,1190,5.0780488068055485,0.7676440826394826,3.435528264134234,12.975223900352233,19.123899692643185,0.7811172964841081,31.87
1,4,0.10240376746064417,886,8.396522991115967,0.8572592474935945,8.40460429329531,13.145041846457591,19.151567455186346,0.7804834952657899,25.05
2,6,0.2627222256691348,1189,1.8060231476149182,0.7898955747549425,7.676473029743236,13.355979045225725,19.532619526720993,0.7716613068092104,50.1
0,8,0.2768747307881776,1323,4.426599821610344,0.8751866255827074,8.412425055681943,13.571082465380654,19.72399294743259,0.767165030721972,133.32
9,7,0.03453143213088619,481,5.146108991965886,0.7938724822628129,7.015302012577242,13.905384755349196,19.961707262546266,0.7615189392084555,28.6
7,8,0.02879248549243365,327,3.82261652728209,0.7198472873770663,1.580839520111047,13.970247465822952,20.17731825881095,0.7563393387456413,27.62
3,4,0.04677642078664595,457,9.903729142816466,0.7019868734807944,5.861972550216255,14.405818751642373,20.300753317561668,0.7533490242083658,10.1
10,9,0.016409726837950663,245,2.7652111524245573,0.7334169429343783,9.534839275350292,16.292919269128234,21.739395237826827,0.7171517820674842,36.81
