cap,train_rul_max,val_MAE,val_RMSE,val_R2,test_MAE,test_RMSE,test_R2,test_MAPE,pred_max,training_time_s
125,125,12.835811,19.092338,0.781839,20.255554,27.906238,0.738043,27.480817,133.0,134.6
150,150,17.66574642821988,24.826077684979687,0.7545676999847504,19.260494118895945,25.71596419173349,0.7775494413979478,29.403811858324115,152.72619109074606,109.3
175,175,22.60415061382864,30.577569664554748,0.7264956098961831,19.61305201083904,26.41203722387765,0.7653439924464732,31.422526756725965,178.7078099643286,111.4
195,195,26.252730497114573,34.91462288610731,0.705920192281277,20.57099480136173,28.192620031785918,0.7326385719543189,32.25471249692753,190.5164897705871,110.7
none,542,41.31580542325984,56.84931423890872,0.58919271298465,27.1322486190604,39.13404644753404,0.4848456300582169,38.87627940067205,274.0695438731555,113.0
