Model,MAE,RMSE,R2,MAPE,Training Time (s)
"CatBoost (Optuna-optimized, Sprint 11)",12.835810709354297,19.09233751146721,0.7818391905343325,,134.6
LSTM Baseline (Sprint 12),18.344552993774414,26.38162567659248,0.5987098217010498,40.528778076171875,269.6
