Experiment,Features,MAE,RMSE,R2,Training Time (s)
Baseline,151,12.89816224544139,19.110294029032474,0.7814286330964038,34.47
Remove Zero Importance,131,12.89243243725421,19.1314145847164,0.7809452392045229,36.0
Threshold 0.001,131,12.89243243725421,19.1314145847164,0.7809452392045229,34.59
Remove Lowest 10%,136,12.919525479173988,19.150327126668792,0.780511927796425,39.45
Remove Lowest 20%,121,12.889121806268395,19.14020575964148,0.7807438749857762,40.49
No time_in_cycles,150,13.71449655303502,19.327633601384147,0.7764287793239018,40.88
Remove Diff Features,130,12.89591014235995,19.128473671700693,0.7810125809558565,33.82
Remove Rolling Features,109,12.848890575759823,19.093007557006533,0.7818238775594597,20.11
Raw + Lag Only,87,13.700892775860899,19.282759757251807,0.7774657250628733,18.46
