Feature,Importance
time_in_cycles,16.66355386528301
sensor_13,8.669868398480036
sensor_13_lag_1,5.920971851276328
sensor_13_lag_3,5.592520613870533
sensor_13_lag_2,5.462192497200394
sensor_11,4.6965557774337
sensor_15_lag_1,4.581562841068344
sensor_15,4.515063753904718
sensor_11_lag_3,3.85926178173204
sensor_6,3.3414999884426133
sensor_11_lag_2,3.028130775337476
sensor_15_lag_2,3.0233503431648505
sensor_15_lag_3,2.854029749746239
sensor_11_lag_1,2.5010192506103555
sensor_4_lag_1,2.479508454084865
sensor_4,2.312746600687996
sensor_6_lag_3,2.116019643203143
sensor_4_lag_2,1.7272851275494279
sensor_6_lag_2,1.4662538276741308
sensor_4_lag_3,1.336894067691319
sensor_14,1.071232780372134
sensor_6_lag_1,0.9448517778295783
sensor_14_lag_1,0.6164099216693072
sensor_2_lag_3,0.5962216508802183
sensor_13_roll_std_5,0.5577458618357548
sensor_14_lag_2,0.4958339301530611
sensor_8,0.46093997047500734
sensor_8_lag_1,0.4104573525528234
sensor_8_lag_3,0.3992515697009372
sensor_2,0.36019939589661887
sensor_8_lag_2,0.3446073939889959
sensor_14_lag_3,0.3327948882570209
sensor_7,0.32751814567583326
sensor_13_roll_mean_5,0.2685922680810597
sensor_21_lag_2,0.24797049805776944
sensor_9,0.2292505261943055
sensor_16_lag_1,0.22385000596264942
sensor_12,0.21834454746782092
sensor_21,0.2130000980762419
sensor_7_lag_3,0.20848392691957862
sensor_9_lag_3,0.20608421917551814
sensor_7_lag_2,0.20398603982580252
sensor_16_lag_2,0.2003153660796101
sensor_7_lag_1,0.18559045638627703
sensor_12_lag_2,0.1840022602303578
sensor_9_lag_2,0.1633540610792791
sensor_21_lag_3,0.15562562693255974
sensor_2_lag_1,0.153817940705187
sensor_3,0.15129486316080792
sensor_3_lag_1,0.15038018610000248
sensor_5,0.14555511169264326
sensor_2_lag_2,0.14448234314099687
sensor_10_lag_1,0.14024606653948338
sensor_12_lag_1,0.13567217966354
sensor_20_lag_3,0.12851110669633978
sensor_12_lag_3,0.11817363873994367
sensor_3_lag_2,0.11229545681593218
sensor_21_lag_1,0.11145499077152789
sensor_9_lag_1,0.11133554745905351
sensor_14_roll_mean_5,0.10743008405195187
sensor_17,0.10146526351818351
sensor_10_lag_2,0.10025879059842897
sensor_14_roll_std_5,0.09983966381463322
sensor_20,0.08536805147303482
sensor_17_lag_1,0.07733277977011467
