2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:50 | Starting Feature Engineering...
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:119 | Generating Rolling Mean features...
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:148 | Generating Rolling Std features...
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:179 | Generating Lag Features...
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:205 | Generating Rate of Change features...
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:61 | Feature Engineering completed successfully.
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:50 | Starting Feature Engineering...
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:119 | Generating Rolling Mean features...
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:148 | Generating Rolling Std features...
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:179 | Generating Lag Features...
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:205 | Generating Rate of Change features...
2026-07-28 15:28:25 | INFO | feature_engineer.py | Line:61 | Feature Engineering completed successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:33 | Fitting Feature Scaler...
2026-07-28 15:28:25 | ERROR | custom_exception.py | Line:31 | Error occurred in script: [N/A] at line [N/A] with message: [Input DataFrame is empty.]
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:33 | Fitting Feature Scaler...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:37 | Feature Scaler fitted successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:33 | Fitting Feature Scaler...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:37 | Feature Scaler fitted successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:89 | Scaler saved to C:\Users\MF\AppData\Local\Temp\tmpm5sprody\scaler.pkl
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-07-28 15:28:25 | ERROR | custom_exception.py | Line:31 | Error occurred in script: [N/A] at line [N/A] with message: [Scaler has not been fitted.]
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:33 | Fitting Feature Scaler...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:37 | Feature Scaler fitted successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:33 | Fitting Feature Scaler...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:37 | Feature Scaler fitted successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-07-28 15:28:25 | INFO | preparation_pipeline.py | Line:37 | Starting Data Preparation Pipeline...
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:67 | Train Engines: 8 | Validation Engines: 2
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:72 | Data splitting completed successfully.
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:29 | Starting Feature Selection...
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:40 | Feature Selection completed successfully.
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:29 | Starting Feature Selection...
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:40 | Feature Selection completed successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:33 | Fitting Feature Scaler...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:37 | Feature Scaler fitted successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
