iter	Passed	Remaining
401	16313	24267
402	16359	24234
403	16403	24198
404	16447	24163
405	16486	24121
406	16531	24086
407	16569	24041
408	16613	24006
409	16653	23965
410	16691	23920
411	16727	23872
412	16761	23822
413	16795	23773
414	16832	23727
415	16879	23696
416	16918	23653
417	16957	23610
418	16994	23565
419	17029	23517
420	17076	23485
421	17109	23434
422	17146	23388
423	17181	23340
424	17217	23294
425	17255	23250
426	17297	23211
427	17344	23180
428	17390	23147
429	17430	23105
430	17467	23060
431	17504	23014
432	17538	22966
433	17569	22913
434	17604	22865
435	17636	22814
436	17679	22777
437	17712	22727
438	17748	22680
439	17785	22636
440	17823	22592
441	17862	22550
442	17898	22504
443	17936	22461
444	17970	22412
445	18004	22364
446	18038	22316
447	18076	22272
448	18127	22245
449	18171	22209
450	18210	22168
451	18246	22122
452	18292	22088
453	18332	22047
454	18371	22004
455	18410	21963
456	18455	21927
457	18496	21888
458	18533	21844
459	18571	21801
460	18607	21756
461	18649	21716
462	18691	21678
463	18728	21634
464	18768	21593
465	18805	21550
466	18843	21507
467	18877	21459
468	18919	21420
469	18957	21377
470	18993	21331
471	19030	21288
472	19062	21238
473	19102	21198
474	19142	21157
475	19174	21107
476	19208	21060
477	19239	21010
478	19279	20969
479	19314	20923
480	19349	20877
481	19384	20831
482	19417	20784
483	19453	20739
484	19488	20694
485	19522	20647
486	19559	20604
487	19594	20557
488	19631	20514
489	19668	20471
490	19710	20432
491	19744	20386
492	19783	20345
493	19822	20304
494	19856	20258
495	19887	20208
496	19917	20157
497	19948	20108
498	19983	20063
499	20018	20018
500	20049	19969
501	20083	19923
502	20123	19883
503	20162	19842
504	20196	19796
505	20235	19755
506	20272	19713
507	20309	19669
508	20349	19630
509	20390	19590
510	20430	19550
511	20472	19512
512	20507	19468
513	20542	19423
514	20580	19381
515	20622	19343
516	20659	19300
517	20701	19263
518	20740	19222
519	20775	19177
520	20815	19137
521	20860	19102
522	20907	19068
523	20954	19034
524	20994	18995
525	21056	18974
526	21144	18977
527	21220	18969
528	21284	18950
529	21331	18916
530	21376	18880
531	21424	18847
532	21477	18818
533	21528	18787
534	21573	18750
535	21623	18718
536	21666	18680
537	21717	18649
538	21762	18613
539	21809	18578
540	21851	18539
541	21896	18503
542	21950	18473
543	21997	18438
544	22047	18406
545	22098	18374
546	22140	18335
547	22182	18296
548	22228	18260
549	22268	18219
550	22314	18183
551	22363	18149
552	22417	18120
553	22468	18088
554	22519	18055
555	22563	18018
556	22602	17976
557	22644	17937
558	22688	17898
559	22729	17859
560	22780	17826
561	22830	17793
562	22870	17751
563	22912	17712
564	22960	17677
565	23006	17640
566	23063	17612
567	23103	17571
568	23144	17531
569	23193	17496
570	23235	17457
571	23280	17419
572	23316	17375
573	23355	17333
574	23394	17291
575	23434	17250
576	23476	17210
577	23518	17170
578	23557	17128
579	23601	17090
580	23645	17052
581	23689	17014
582	23737	16978
583	23778	16938
584	23819	16897
585	23860	16856
586	23909	16822
587	23953	16783
588	23993	16742
589	24042	16707
590	24086	16669
591	24132	16631
592	24181	16596
593	24229	16561
594	24269	16519
595	24311	16479
596	24352	16438
597	24394	16399
598	24440	16361
599	24531	16354
600	24607	16336
601	24666	16307
602	24743	16290
603	24792	16254
604	24842	16219
605	24895	16186
606	24957	16158
607	25000	16118
608	25048	16082
609	25092	16042
610	25131	16000
611	25176	15961
612	25231	15928
613	25288	15898
614	25339	15863
615	25392	15829
616	25439	15791
617	25490	15756
618	25539	15720
619	25590	15684
620	25644	15650
621	25687	15610
622	25729	15569
623	25778	15533
624	25827	15496
625	25875	15459
626	25923	15421
627	25978	15388
628	26036	15357
629	26100	15328
630	26164	15300
631	26220	15267
632	26302	15249
633	26382	15230
634	26451	15204
635	26502	15168
636	26556	15133
637	26599	15092
638	26649	15055
639	26698	15018
640	26744	14978
641	26791	14939
642	26835	14899
643	26877	14857
644	26923	14818
645	26971	14780
646	27021	14742
647	27066	14702
648	27113	14663
649	27164	14626
650	27208	14586
651	27256	14547
652	27295	14504
653	27341	14465
654	27385	14424
655	27441	14389
656	27498	14356
657	27544	14316
658	27592	14277
659	27641	14239
660	27691	14201
661	27737	14161
662	27777	14119
663	27831	14083
664	27874	14041
665	27920	14002
666	27971	13964
667	28017	13924
668	28065	13885
669	28117	13848
670	28160	13807
671	28201	13764
672	28247	13725
673	28286	13681
674	28330	13640
675	28379	13601
676	28424	13561
677	28478	13525
678	28532	13488
679	28575	13447
680	28616	13404
681	28659	13363
682	28721	13330
683	28777	13294
684	28826	13255
685	28875	13216
686	28922	13177
687	28972	13138
688	29019	13098
689	29066	13058
690	29112	13018
691	29157	12977
692	29203	12937
693	29243	12894
694	29293	12855
695	29345	12817
696	29396	12779
697	29441	12738
698	29486	12697
699	29535	12658
700	29582	12617
701	29627	12576
702	29679	12538
703	29734	12502
704	29789	12464
705	29836	12425
706	29891	12387
707	29945	12350
708	29997	12312
709	30061	12278
710	30139	12250
711	30232	12228
712	30349	12216
713	30459	12200
714	30548	12176
715	30660	12161
716	30779	12148
717	30878	12127
718	31021	12123
719	31174	12123
720	31322	12120
721	31445	12107
722	31553	12088
723	31641	12062
724	31727	12034
725	31822	12009
726	31922	11987
727	32017	11962
728	32111	11937
729	32200	11909
730	32295	11884
731	32398	11861
732	32478	11830
733	32558	11799
734	32643	11769
735	32734	11741
736	32811	11708
737	32903	11681
738	32986	11650
739	33077	11621
740	33170	11594
741	33257	11564
742	33354	11537
743	33432	11503
744	33511	11470
745	33595	11438
746	33684	11408
747	33788	11383
748	33876	11352
749	33963	11321
750	34039	11286
751	34123	11253
752	34229	11228
753	34326	11199
754	34416	11168
755	34512	11138
756	34595	11105
757	34675	11070
758	34771	11040
759	34879	11014
760	34988	10988
761	35071	10954
762	35166	10923
763	35259	10891
764	35350	10859
765	35445	10828
766	35532	10794
767	35620	10760
768	35703	10724
769	35788	10690
770	35882	10657
771	35962	10620
772	36046	10585
773	36140	10552
774	36221	10515
775	36310	10481
776	36398	10446
777	36478	10409
778	36574	10376
779	36684	10346
780	36784	10314
781	36905	10288
782	37044	10266
783	37225	10256
784	37352	10230
785	37485	10206
786	37602	10176
787	37759	10158
788	37884	10131
789	38048	10114
790	38196	10092
791	38327	10065
792	38470	10042
793	38579	10009
794	38667	9970
795	39003	9995
796	39181	9979
797	39294	9946
798	39390	9909
799	39503	9875
800	39589	9835
801	39693	9799
802	39799	9764
803	39911	9729
804	40025	9695
805	40149	9663
806	40295	9636
807	40403	9600
808	40510	9564
809	40604	9524
810	40705	9486
811	40805	9447
812	40970	9423
813	41129	9398
814	41313	9377
815	41440	9344
816	41546	9306
817	41676	9272
818	41829	9244
819	41943	9207
820	42065	9171
821	42185	9134
822	42297	9096
823	42413	9059
824	42540	9023
825	42653	8985
826	42734	8939
827	42837	8898
828	42937	8856
829	43052	8818
830	43177	8781
831	43268	8736
832	43378	8696
833	43522	8662
834	43624	8620
835	43725	8577
836	43850	8539
837	43971	8500
838	44077	8458
839	44206	8420
840	44329	8381
841	44439	8339
842	44538	8294
843	44648	8252
844	44773	8212
845	44907	8174
846	45007	8129
847	45131	8089
848	45223	8043
849	45337	8000
850	45457	7959
851	45588	7919
852	45700	7875
853	45794	7829
854	45903	7784
855	46048	7746
856	46158	7702
857	46253	7655
858	46378	7612
859	46482	7566
860	46592	7521
861	46684	7473
862	46771	7424
863	46860	7376
864	46959	7328
865	47052	7280
866	47158	7234
867	47285	7190
868	47389	7143
869	47489	7096
870	47579	7046
871	47697	7001
872	47808	6954
873	47904	6906
874	47996	6856
875	48079	6805
876	48164	6755
877	48250	6704
878	48337	6653
879	48433	6604
880	48542	6556
881	48637	6507
882	48723	6455
883	48816	6405
884	48905	6354
885	49003	6305
886	49102	6255
887	49213	6207
888	49300	6155
889	49390	6104
890	49502	6055
891	49595	6004
892	49676	5952
893	49760	5900
894	49837	5846
895	49921	5794
896	50012	5742
897	50126	5693
898	50229	5643
899	50328	5592
900	50418	5539
901	50511	5487
902	50609	5436
903	50700	5384
904	50796	5332
905	50909	5282
906	50996	5228
907	51092	5176
908	51202	5125
909	51295	5073
910	51410	5022
911	51514	4970
912	51612	4918
913	51698	4864
914	51796	4811
915	51895	4758
916	51994	4706
917	52095	4653
918	52187	4599
919	52263	4544
920	52353	4490
921	52444	4436
922	52542	4383
923	52653	4330
924	52760	4277
925	52870	4225
926	52963	4170
927	53059	4116
928	53163	4063
929	53262	4009
930	53350	3954
931	53434	3898
932	53518	3843
933	53599	3787
934	53695	3732
935	53775	3676
936	53868	3621
937	53954	3566
938	54034	3510
939	54125	3454
940	54201	3398
941	54271	3341
942	54348	3285
943	54449	3230
944	54541	3174
945	54619	3117
946	54695	3061
947	54785	3005
948	54883	2949
949	54973	2893
950	55080	2838
951	55182	2782
952	55267	2725
953	55333	2668
954	55400	2610
955	55465	2552
956	55530	2495
957	55582	2436
958	55619	2377
959	55668	2319
960	55714	2261
961	55755	2202
962	55798	2143
963	55841	2085
964	55880	2026
965	55916	1968
966	55956	1909
967	55998	1851
968	56038	1792
969	56072	1734
970	56113	1675
971	56153	1617
972	56188	1559
973	56226	1500
974	56268	1442
975	56309	1384
976	56345	1326
977	56382	1268
978	56415	1210
979	56451	1152
980	56487	1094
981	56525	1036
982	56560	978
983	56596	920
984	56638	862
985	56677	804
986	56710	746
987	56743	689
988	56773	631
989	56811	573
990	56846	516
991	56878	458
992	56922	401
993	56962	343
994	57001	286
995	57040	229
996	57076	171
997	57114	114
998	57151	57
999	57189	0
