iter	RMSE
0	47.75107787
1	45.68570165
2	43.75820188
3	41.96726938
4	40.29791533
5	38.74829332
6	37.32981991
7	36.00464092
8	34.79180839
9	33.65336309
10	32.60621606
11	31.65166263
12	30.77608511
13	29.96727837
14	29.22421011
15	28.5438724
16	27.90108292
17	27.31865565
18	26.7984846
19	26.31177458
20	25.86773957
21	25.46265424
22	25.08586418
23	24.7378336
24	24.42554831
25	24.14645283
26	23.91363025
27	23.66527222
28	23.43836049
29	23.23546218
30	23.04609204
31	22.8669053
32	22.71264917
33	22.57516494
34	22.4562266
35	22.34050776
36	22.23472689
37	22.13925343
38	22.04402955
39	21.95634781
40	21.86943193
41	21.78870663
42	21.71782436
43	21.66054554
44	21.58845744
45	21.53939248
46	21.47059601
47	21.42474858
48	21.3807999
49	21.33818119
50	21.27584308
51	21.22914775
52	21.19132302
53	21.13671479
54	21.09537963
55	21.05548632
56	21.02314148
57	20.97561565
58	20.9416932
59	20.9011769
60	20.86283789
61	20.83520088
62	20.80481331
63	20.7744704
64	20.7431626
65	20.717111
66	20.68234577
67	20.66087184
68	20.62974041
69	20.59778009
70	20.57104796
71	20.54295714
72	20.5172951
73	20.49326421
74	20.45586685
75	20.4275721
76	20.39357289
77	20.37259018
78	20.34747945
79	20.32426895
80	20.30287401
81	20.27593038
82	20.25305902
83	20.21893162
84	20.20577177
85	20.18524583
86	20.15664845
87	20.13935838
88	20.11244747
89	20.08896847
90	20.06976251
91	20.04572549
92	20.02030822
93	19.9999414
94	19.97371353
95	19.94779276
96	19.92228704
97	19.89611907
98	19.872297
99	19.85388997
100	19.83576457
101	19.82075333
102	19.80157448
103	19.78099961
104	19.76633282
105	19.74498135
106	19.72749077
107	19.70649125
108	19.68833916
109	19.67183311
110	19.65066678
111	19.63000066
112	19.61003703
113	19.58528482
114	19.56745874
115	19.54163569
116	19.52157473
117	19.50164804
118	19.4754232
119	19.46288401
120	19.44591676
121	19.43053814
122	19.40957177
123	19.38757682
124	19.36924171
125	19.35791229
126	19.33498537
127	19.31813861
128	19.30640359
129	19.28935906
130	19.26924422
131	19.25622947
132	19.23848101
133	19.21851277
134	19.19926165
135	19.1828235
136	19.1687226
137	19.1454938
138	19.12754551
139	19.11382958
140	19.09965337
141	19.08284491
142	19.07257284
143	19.05310252
144	19.04388309
145	19.02604246
146	19.01240259
147	18.99837396
148	18.98765279
149	18.97487152
150	18.95147783
151	18.93450358
152	18.9168614
153	18.89991084
154	18.88282289
155	18.86856336
156	18.85597525
157	18.84131623
158	18.83151261
159	18.81543636
160	18.80336795
161	18.78752225
162	18.77066851
163	18.75730636
164	18.74366678
165	18.72584981
166	18.71832692
167	18.7082028
168	18.69609108
169	18.68659915
170	18.66817812
171	18.65083731
172	18.64040995
173	18.62955847
174	18.61528907
175	18.60628587
176	18.59185015
177	18.57979575
178	18.56203434
179	18.55420436
180	18.53821566
181	18.52783047
182	18.51821593
183	18.50398386
184	18.49348362
185	18.47805794
186	18.46105769
187	18.4489691
188	18.43816368
189	18.42080066
190	18.40752955
191	18.39843649
192	18.38820347
193	18.37597212
194	18.36738478
195	18.35047055
196	18.33564262
197	18.32163196
198	18.30940486
199	18.29694342
200	18.28293403
201	18.27486213
202	18.26768755
203	18.25179819
204	18.2367999
205	18.22993543
206	18.22183685
207	18.20920815
208	18.19907445
209	18.19063083
210	18.17630342
211	18.16216628
212	18.15055899
213	18.13456516
214	18.1262857
215	18.11519832
216	18.10984141
217	18.09445981
218	18.08720361
219	18.07456159
220	18.06084877
221	18.05287339
222	18.04492899
223	18.03877426
224	18.03035551
225	18.01974348
226	18.0077043
227	17.99397083
228	17.98255471
229	17.96997677
230	17.96329168
231	17.95241222
232	17.94296614
233	17.93387739
234	17.92643723
235	17.91444446
236	17.9048393
237	17.89758644
238	17.88709334
239	17.87433112
240	17.86594405
241	17.85327802
242	17.84130248
243	17.82972792
244	17.8237751
245	17.81634256
246	17.80803102
247	17.79898773
248	17.7881838
249	17.7781451
250	17.76795948
251	17.75870555
252	17.75083847
253	17.74556723
254	17.73263465
255	17.71882356
256	17.70367991
257	17.69509922
258	17.68517066
259	17.67643025
260	17.66921892
261	17.65918571
262	17.64815027
263	17.63339813
264	17.62760157
265	17.61258636
266	17.59985225
267	17.58747411
268	17.5753554
269	17.56582869
270	17.55641808
271	17.54587514
272	17.53516191
273	17.5270304
274	17.51934675
275	17.51215204
276	17.50411428
277	17.48868149
278	17.47783508
279	17.46802491
280	17.45882394
281	17.45399893
282	17.4439403
283	17.43295722
284	17.42267815
285	17.41337429
286	17.40238494
287	17.39544841
288	17.38406412
289	17.37309429
290	17.36382292
291	17.3514886
292	17.34131441
293	17.32998485
294	17.3215177
295	17.30951305
296	17.29674822
297	17.28823068
